task	true_label	pred_label	error_pair	n_errors	mean_confidence	mean_margin
material	dentine	dental calculus	dentine → dental calculus	1	0.9993265867233276	0.9986531433532946
material	permafrost	leaf	permafrost → leaf	1	0.9866750836372375	0.9773627454414964
sample_host	Homo sapiens	Not applicable - env sample	Homo sapiens → Not applicable - env sample	45	0.9934554735819499	0.9896559333556676
sample_host	gorilla beringei beringei	Gorilla sp.	gorilla beringei beringei → Gorilla sp.	16	0.9999931901693344	0.9999874035196237
sample_host	Homo sapiens	Pan troglodytes	Homo sapiens → Pan troglodytes	11	0.9813840985298157	0.9667778607016206
sample_host	gorilla beringei graueri	Gorilla sp.	gorilla beringei graueri → Gorilla sp.	8	0.9999350756406784	0.9998781661775344
sample_host	alouatta palliata	Gorilla sp.	alouatta palliata → Gorilla sp.	7	0.9844891684395927	0.969925832674822
sample_host	pan troglodytes schweinfurthii	Pan troglodytes	pan troglodytes schweinfurthii → Pan troglodytes	7	1.0	0.9999999978621161
sample_host	Homo sapiens	Canis lupus	Homo sapiens → Canis lupus	5	0.9540178656578064	0.9085014447569847
sample_host	gorilla gorilla gorilla	Gorilla sp.	gorilla gorilla gorilla → Gorilla sp.	5	0.9995099067687988	0.9992410044348798
sample_host	gorilla beringei	Gorilla sp.	gorilla beringei → Gorilla sp.	4	0.9559926688671112	0.9195524477399886
sample_host	pan troglodytes ellioti	Pan troglodytes	pan troglodytes ellioti → Pan troglodytes	4	1.0	0.9999999999999807
sample_host	Homo sapiens neanderthalensis	Not applicable - env sample	Homo sapiens neanderthalensis → Not applicable - env sample	3	0.9999844630559286	0.9999767549067684
sample_host	Homo sapiens	Homo sapiens neanderthalensis	Homo sapiens → Homo sapiens neanderthalensis	2	0.9926931262016296	0.9855451493058354
sample_host	papio hamadryas	Homo sapiens	papio hamadryas → Homo sapiens	2	0.9996711909770966	0.9993426708387818
sample_host	Arabidopsis thaliana	Not applicable - env sample	Arabidopsis thaliana → Not applicable - env sample	1	0.9963130354881287	0.9947574577527121
sample_host	Not applicable - env sample	Arabidopsis thaliana	Not applicable - env sample → Arabidopsis thaliana	1	0.9237469434738159	0.8755925931036472
sample_host	homo sapiens	Homo sapiens	homo sapiens → Homo sapiens	1	0.906244158744812	0.8124908655881882
sample_type	modern	ancient	modern → ancient	27	0.9802954505991053	0.9605909160605667
sample_type	ancient	modern	ancient → modern	23	0.9546669643858204	0.909333926371524
