table	sample_accession	field	old	new	commit	change_type	archive_sample_accession	archive_data_accession	split
hostassociated	ERS21099095	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099095	ERR13900238	not_in_v9
hostassociated	ERS21099451	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099451	ERR13896924	val
hostassociated	ERS21099141	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099141	ERR13897471	val
hostassociated	ERS21099082	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099265	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099265	ERR13897345	val
hostassociated	ERS21099439	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099439	ERR13903112	val
hostassociated	ERS21099090	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099090	ERR15696080	val
hostassociated	ERS21099510	sample_host	Mammuthustrogontherii	Mammuthus trogontherii	9628e9e8	vocabulary normalisation	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099510	sample_host	Mammuthus trogontherii	Mammuthus sp.	b7a583cc	genuine relabel	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099082	material	pelvis	pelvis complex	b7a583cc	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099510	sample_host	Mammuthus sp.	Mammuthus trogontherii	2f2f9ef3	genuine relabel	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099082	material	pelvis complex	pelvis	2f2f9ef3	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099082	material	pelvis	pelvis complex	b87bc7b5	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated		community_type	tooth	PRJEB78615	5765d1ab	genuine relabel			not_in_v9
hostassociated		sample_host	Mammuthus sp.  1100000	Mammuthus sp.  1100000  10.1038/s41586-021-03224-9  skeletal tissue	5765d1ab	vocabulary normalisation			not_in_v9
hostassociated		material	ENA	ERS21099510	5765d1ab	genuine relabel			not_in_v9
hostassociated		community_type	PRJEB78615	skeletal tissue	7dded9f3	genuine relabel			not_in_v9
hostassociated		sample_host	Mammuthus sp.  1100000  10.1038/s41586-021-03224-9  skeletal tissue	Mammuthus primigenius	7dded9f3	genuine relabel			not_in_v9
hostassociated		material	ERS21099510	tooth  ENA  PRJEB78615	7dded9f3	genuine relabel			not_in_v9
hostassociated	ERS21099095	material	ENA	tooth	342624cf	genuine relabel	ERS21099095	ERR13900238	not_in_v9
hostassociated	ERS21099265	material	tooth 	tooth	342624cf	vocabulary normalisation	ERS21099265	ERR13897345	val
hostassociated	ERS21099290	material	tooth 	tooth	342624cf	vocabulary normalisation	ERS21099290	ERR13897352	val
hostassociated	ERS15409414	community_type	skeletal tissue	oral	e03dab1a	genuine relabel	ERS15409414	ERR11413733	train
hostassociated	ERS15409414	material	bone	dental calculus	e03dab1a	genuine relabel	ERS15409414	ERR11413733	train
environmental	SAMEA8243099	feature	megaslump	slump	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243097	feature	megaslump	slump	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243096	feature	megaslump	slump	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243095	feature	megaslump	slump	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243098	feature	megaslump	slump	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243099	material	permafrost sediment	permafrost	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243097	material	permafrost sediment	permafrost	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243096	material	permafrost sediment	permafrost	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243095	material	permafrost sediment	permafrost	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243098	material	permafrost sediment	permafrost	5a7b676f	vocabulary normalisation			not_in_v9
environmental	SAMEA8243099	feature	slump	archeological site	776235fa	genuine relabel			not_in_v9
environmental	SAMEA8243097	feature	slump	archeological site	776235fa	genuine relabel			not_in_v9
environmental	SAMEA8243096	feature	slump	archeological site	776235fa	genuine relabel			not_in_v9
environmental	SAMEA8243095	feature	slump	archeological site	776235fa	genuine relabel			not_in_v9
environmental	SAMEA8243098	feature	slump	archeological site	776235fa	genuine relabel			not_in_v9
environmental	ERR6024164	material	cave sediment	sediment	2b0813b0	vocabulary normalisation			not_in_v9
environmental	ERS6590040	material	cave sediment	sediment	da9cb4b5	vocabulary normalisation	ERS6590040	ERR6024164	test
environmental	ERS14240264	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240264	ERR10493277	train
environmental	ERS14240265	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240265	ERR10493279	train
environmental	ERS14240266	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240266	ERR10493281	train
environmental	ERS14240267	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240267	ERR10493283	train
environmental	ERS14240268	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240268	ERR10493326	train
environmental	ERS14240269	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240269	ERR10493328	train
environmental	ERS14240270	feature	nan	sea coast	26ef44b7	fill/blank	ERS14240270	ERR10493314	train
environmental	ERS14240267	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240267	ERR10493283	train
environmental	ERS14240268	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240268	ERR10493326	train
environmental	ERS14240269	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240269	ERR10493328	train
environmental	ERS14240270	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240270	ERR10493314	train
environmental	ERS14240271	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240271	ERR10493316	train
environmental	ERS14240272	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240272	ERR10493318	train
environmental	ERS14240273	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240273	ERR10493320	train
environmental	ERS14240274	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240274	ERR10493322	train
environmental	ERS14240275	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240275	ERR10493324	train
environmental	ERS14240276	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240276	ERR10493285	train
environmental	ERS14240277	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240277	ERR10493287	train
environmental	ERS14240278	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240278	ERR10493289	train
environmental	ERS14240279	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240279	ERR10493291	train
environmental	ERS14240280	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240280	ERR10493292	train
environmental	ERS14240281	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240281	ERR10493294	train
environmental	ERS14240282	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240282	ERR10493297	train
environmental	ERS14240283	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240283	ERR10493299	train
environmental	ERS14240284	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240284	ERR10493301	train
environmental	ERS14240285	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240285	ERR10493303	train
environmental	ERS14240286	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240286	ERR10493304	train
environmental	ERS14240287	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240287	ERR10493306	train
environmental	ERS14240288	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240288	ERR10493308	train
environmental	ERS14240289	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240289	ERR10493310	train
environmental	ERS14240290	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240290	ERR10493311	train
environmental	ERS14240291	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240291	ERR10493312	train
environmental	ERS14240292	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240292	ERR10493357	train
environmental	ERS14240293	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240293	ERR10493358	train
environmental	ERS14240294	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240294	ERR10493359	train
environmental	ERS14240295	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240295	ERR10493360	train
environmental	ERS14240296	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240296	ERR10493361	train
environmental	ERS14240297	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240297	ERR10493362	train
environmental	ERS14240298	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240298	ERR10493363	train
environmental	ERS14240303	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240303	ERR10493330	train
environmental	ERS14240304	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240304	ERR10493332	train
environmental	ERS14240305	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240305	ERR10493333	train
environmental	ERS14240307	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240307	ERR10493335	train
environmental	ERS14240306	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240306	ERR10493334	train
environmental	ERS14240308	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240308	ERR10493336	train
environmental	ERS14240309	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240309	ERR10493337	train
environmental	ERS14240310	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240310	ERR10493338	train
environmental	ERS14240311	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240311	ERR10493339	train
environmental	ERS14240312	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240312	ERR10493340	train
environmental	ERS14240313	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240313	ERR10493341	train
environmental	ERS14240314	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240314	ERR10493343	train
environmental	ERS14240315	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240315	ERR10493344	train
environmental	ERS14240316	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240316	ERR10493345	train
environmental	ERS14240317	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240317	ERR10493346	train
environmental	ERS14240318	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240318	ERR10493347	train
environmental	ERS14240319	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240319	ERR10493348	train
environmental	ERS14240320	material	Permafrost	permafrost	2445df94	vocabulary normalisation	ERS14240320	ERR10493349	train
environmental	ERS14240264	material	Permafrost	permafrost	0a8021d5	vocabulary normalisation	ERS14240264	ERR10493277	train
environmental	ERS14240265	material	Permafrost	permafrost	0a8021d5	vocabulary normalisation	ERS14240265	ERR10493279	train
environmental	ERS14240266	material	Permafrost	permafrost	0a8021d5	vocabulary normalisation	ERS14240266	ERR10493281	train
environmental	ERS7649022	feature	Alas	alas	e93e7c86	vocabulary normalisation	ERS7649022	ERR6862848	val
environmental	ERS7649028	feature	Alas	alas	e93e7c86	vocabulary normalisation	ERS7649028	ERR6862854	val
environmental	ERS7649024	feature	Alas	alas	e93e7c86	vocabulary normalisation	ERS7649024	ERR6862850	val
environmental	ERS7649017	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649017	ERR6857195	val
environmental	ERS7649023	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649023	ERR6862849	val
environmental	ERS7649026	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649026	ERR6862852	val
environmental	ERS7649021	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649021	ERR6862847	val
environmental	ERS7649022	feature	alas	thermokarst	3e1a7166	genuine relabel	ERS7649022	ERR6862848	val
environmental	ERS7649027	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649027	ERR6862853	val
environmental	ERS7649028	feature	alas	thermokarst	3e1a7166	genuine relabel	ERS7649028	ERR6862854	val
environmental	ERS7649024	feature	alas	thermokarst	3e1a7166	genuine relabel	ERS7649024	ERR6862850	val
environmental	ERS7649025	feature	lake	thermokarst	3e1a7166	genuine relabel	ERS7649025	ERR6862851	val
environmental	ERS7649017	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649017	ERR6857195	val
environmental	ERS7649023	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649023	ERR6862849	val
environmental	ERS7649026	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649026	ERR6862852	val
environmental	ERS7649021	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649021	ERR6862847	val
environmental	ERS7649022	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649022	ERR6862848	val
environmental	ERS7649027	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649027	ERR6862853	val
environmental	ERS7649028	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649028	ERR6862854	val
environmental	ERS7649024	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649024	ERR6862850	val
environmental	ERS7649025	material	soil	permafrost	3e1a7166	genuine relabel	ERS7649025	ERR6862851	val
environmental	SRS10329921	feature	nan	ocean	a2f4f3fe	fill/blank	SRS10329921	SRR16071515	train
environmental	SRS10329922	feature	nan	ocean	a2f4f3fe	fill/blank	SRS10329922	SRR16071516	train
environmental	SRS10329923	feature	nan	ocean	a2f4f3fe	fill/blank	SRS10329923	SRR16071517	train
environmental	SRS10329919	feature	nan	ocean	a2f4f3fe	fill/blank	SRS10329919	SRR16071520	train
environmental	SRS10329918	feature	nan	ocean	a2f4f3fe	fill/blank	SRS10329918	SRR16071521	train
environmental	ERS12841705	feature	archaeological site	archeological site	33351fa1	genuine relabel	ERS12841705	ERR10114879	train
environmental	ERS12841706	feature	archaeological site	archeological site	33351fa1	genuine relabel	ERS12841706	ERR10114880	train
environmental	ERS12841707	feature	archaeological site	archeological site	33351fa1	genuine relabel	ERS12841707	ERR10114881	train
environmental	ERS12841708	feature	archaeological site	archeological site	33351fa1	genuine relabel	ERS12841708	ERR10114882	train
environmental	ERS12841709	feature	archaeological site	archeological site	33351fa1	genuine relabel	ERS12841709	ERR10114883	train
environmental	ERS12841704	feature	archaeological site	archeological site	c8faae0d	genuine relabel	ERS12841704	ERR10114878	train
environmental	ERS7183360	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183360	ERR6430820	train
environmental	ERS7183361	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183361	ERR6430821	train
environmental	ERS7183362	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183362	ERR6430822	train
environmental	ERS7183363	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183363	ERR6430823	train
environmental	ERS7183365	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183365	ERR6430825	train
environmental	ERS7183368	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183368	ERR6430828	train
environmental	ERS7183369	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183369	ERR6430830	train
environmental	ERS7183370	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183370	ERR6430831	train
environmental	ERS7183371	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183371	ERR6430832	train
environmental	ERS7183372	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183372	ERR6430833	train
environmental	ERS7183373	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183373	ERR6430834	train
environmental	ERS7183374	feature	marine sediment	ocean	8e5e4f5b	genuine relabel			not_in_v9
environmental	ERS7183376	feature	marine sediment	ocean	8e5e4f5b	genuine relabel			not_in_v9
environmental	ERS7183377	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183377	ERR6430838	train
environmental	ERS7183379	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183379	ERR6430840	train
environmental	ERS7183380	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183380	ERR6430841	train
environmental	ERS7183381	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183381	ERR6430842	train
environmental	ERS7183382	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183382	ERR6430843	train
environmental	ERS7183385	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183385	ERR6430846	train
environmental	ERS7183386	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183386	ERR6430847	train
environmental	ERS7183388	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183388	ERR6430849	train
environmental	ERS7183389	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183389	ERR6430850	train
environmental	ERS7183390	feature	marine sediment	ocean	8e5e4f5b	genuine relabel	ERS7183390	ERR6430851	train
environmental	ERS7183391	feature	marine sediment	ocean	8e5e4f5b	genuine relabel			not_in_v9
environmental	ERS7183392	feature	marine sediment	ocean	8e5e4f5b	genuine relabel			not_in_v9
environmental	ERS7183360	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183360	ERR6430820	train
environmental	ERS7183361	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183361	ERR6430821	train
environmental	ERS7183362	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183362	ERR6430822	train
environmental	ERS7183363	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183363	ERR6430823	train
environmental	ERS7183365	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183365	ERR6430825	train
environmental	ERS7183368	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183368	ERR6430828	train
environmental	ERS7183369	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183369	ERR6430830	train
environmental	ERS7183370	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183370	ERR6430831	train
environmental	ERS7183371	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183371	ERR6430832	train
environmental	ERS7183372	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183372	ERR6430833	train
environmental	ERS7183373	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183373	ERR6430834	train
environmental	ERS7183374	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation			not_in_v9
environmental	ERS7183376	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation			not_in_v9
environmental	ERS7183377	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183377	ERR6430838	train
environmental	ERS7183379	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183379	ERR6430840	train
environmental	ERS7183380	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183380	ERR6430841	train
environmental	ERS7183381	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183381	ERR6430842	train
environmental	ERS7183382	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183382	ERR6430843	train
environmental	ERS7183385	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183385	ERR6430846	train
environmental	ERS7183386	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183386	ERR6430847	train
environmental	ERS7183388	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183388	ERR6430849	train
environmental	ERS7183389	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183389	ERR6430850	train
environmental	ERS7183390	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation	ERS7183390	ERR6430851	train
environmental	ERS7183391	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation			not_in_v9
environmental	ERS7183392	material	sediment	marine sediment	8e5e4f5b	vocabulary normalisation			not_in_v9
environmental	ERS14617135	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617135	ERR10878152	test
environmental	ERS14617136	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617136	ERR10878153	test
environmental	ERS14617137	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617137	ERR10878154	test
environmental	ERS14617138	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617138	ERR10878155	test
environmental	ERS14617139	feature	nan	rock shelter	ff92e881	fill/blank	ERS14617139	ERR10878156	test
